title,author,length
The Last Guests,By: JP Pomare,Length: 10 hrs and 44 mins
The Perfect Run 2,"By: Maxime J. Durand, Void Herald",Length: 18 hrs and 25 mins
The Missing,By: Kiersten Modglin,Length: 8 hrs and 26 mins
A Discovery of Witches,By: Deborah Harkness,Length: 23 hrs and 59 mins
My Mess Is a Bit of a Life,By: Georgia Pritchett,Length: 4 hrs and 15 mins
CEO Excellence,"By: Carolyn Dewar, Scott Keller, Vikram Malhotra",Length: 11 hrs
Cherish Farrah,By: Bethany C. Morrow,Length: 11 hrs and 8 mins
Winner Cake All,By: Denise Swanson,Length: 7 hrs and 21 mins
The Horsewoman,"By: James Patterson, Mike Lupica",Length: 11 hrs and 7 mins
A Farewell to Charms,By: Molly Harper,Length: 7 hrs and 26 mins
Backyard Starship,"By: J.N. Chaney, Terry Maggert",Length: 12 hrs and 58 mins
Outdoor Kids in an Inside World,By: Steven Rinella,Length: 8 hrs
Devil's Desk,By: Mark Tufo,Length: 9 hrs and 54 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
The Four-Part Key,By: Michael Wisehart,Length: 35 hrs and 36 mins
The Intelligent Investor Rev Ed.,By: Benjamin Graham,Length: 17 hrs and 48 mins
The Millionaire Next Door,"By: Thomas J. Stanley Ph.D., William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Empire of Pain,By: Patrick Radden Keefe,Length: 18 hrs and 6 mins
"The Word of Promise Audio Bible - New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
Virgil's Pact,By: Maxwell Farmer,Length: 13 hrs and 34 mins
Love Unfu*ked,By: Gary John Bishop,Length: 3 hrs and 46 mins
How the Word Is Passed,By: Clint Smith,Length: 10 hrs and 6 mins
Stolen Angels,By: Rita Herron,Length: 9 hrs and 15 mins
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
The Two Towers,By: J. R. R. Tolkien,Length: 16 hrs and 40 mins
"3:16 Audio Bible Studies, Updated Edition",By: Max Lucado,Length: 1 hr and 25 mins
The Boys in the Boat,By: Daniel James Brown,Length: 14 hrs and 24 mins
The Girl with the Dragon Tattoo,"By: Stieg Larsson, Reg Keeland - translator",Length: 16 hrs and 19 mins
The Goldfinch,By: Donna Tartt,Length: 32 hrs and 24 mins
Apocalypse Knights 1,By: DB King,Length: 13 hrs and 14 mins
Dragonfly in Amber,By: Diana Gabaldon,Length: 38 hrs and 54 mins
Path of Daggers,By: Robert Jordan,Length: 23 hrs and 25 mins
Swamp Sweets,By: Jana DeLeon,Length: 9 hrs and 16 mins
It,By: Stephen King,Length: 44 hrs and 55 mins
Star Wars: The Fallen Star (The High Republic),By: Claudia Gray,Length: 13 hrs and 30 mins
Rock Paper Scissors,By: Alice Feeney,Length: 10 hrs and 22 mins
Sickening,By: John Abramson,Length: 9 hrs and 17 mins
Rising Tiger,By: Brad Thor,Length: 10 hrs and 30 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Ice and Monsters,By: Peter Nealen,Length: 11 hrs and 26 mins
Think Like a Monk,By: Jay Shetty,Length: 10 hrs and 54 mins
The Things We Do for Love,By: Kristin Hannah,Length: 13 hrs
Yearbook,By: Seth Rogen,Length: 6 hrs and 13 mins
Chemistry Lessons,By: Jae,Length: 6 hrs and 30 mins
Thrawn (Star Wars),By: Timothy Zahn,Length: 16 hrs and 56 mins
The Book Thief,By: Markus Zusak,Length: 13 hrs and 56 mins
Unbroken,By: Laura Hillenbrand,Length: 13 hrs and 56 mins
The Last Olympian,By: Rick Riordan,Length: 11 hrs
With Love from London,By: Sarah Jio,Length: 11 hrs and 26 mins
The Hate U Give,By: Angie Thomas,Length: 11 hrs and 50 mins
The Phoenix Project,"By: Gene Kim, Kevin Behr, George Spafford",Length: 14 hrs and 46 mins
"Multipliers, Revised and Updated","By: Liz Wiseman, Stephen Covey - foreword",Length: 11 hrs and 24 mins
